,Accuracy,Precision,Recall,F1-Score,ZOL,Mathews Cofficient,Kappa Score
0,0.8725247524752475,0.8720343842765523,0.8725247524752475,0.8705923720466547,0.12747524752475248,0.8412963883007064,0.8403606195751211
1,0.8737623762376238,0.8722014471146022,0.8737623762376238,0.8724921009304049,0.12623762376237624,0.8421861831868086,0.8419290122864826
2,0.870049504950495,0.8693517383821131,0.870049504950495,0.8692152304190142,0.12995049504950495,0.8376198634279505,0.8373709452957572
3,0.8997524752475248,0.8991902560790122,0.8997524752475248,0.899145099601238,0.10024752475247523,0.8747326594183106,0.8745649407399457
4,0.9071782178217822,0.9070358437675649,0.9071782178217822,0.9067757465315706,0.0928217821782178,0.8840285613995886,0.8838624363974358
5,0.9034653465346535,0.903155414182037,0.9034653465346535,0.9030834129805009,0.09653465346534651,0.8793167307296688,0.8792037382747663
6,0.8477722772277227,0.8480818474039242,0.8477722772277227,0.8463826920220764,0.15222772277227725,0.8104587158447074,0.8096234189399643
7,0.844059405940594,0.8436821037826231,0.844059405940594,0.8429385287134749,0.15594059405940597,0.8054417104729492,0.8049494498588964
8,0.8477722772277227,0.8487904394446502,0.8477722772277227,0.8464476836148833,0.15222772277227725,0.8105308128918249,0.8095832958122656
9,0.9764851485148515,0.9764357925982434,0.9764851485148515,0.9764268654691369,0.023514851485148536,0.9706229251335917,0.9706061992735795
10,0.9752475247524752,0.9752223204500744,0.9752475247524752,0.9752086975004477,0.024752475247524774,0.9690721453231501,0.9690591571300836
