epoch,accuracy,loss,precision,recall
0,0.9489846229553223,0.26446565985679626,0.9742441177368164,0.8618127703666687
1,0.9638434648513794,0.10877346992492676,0.9666168689727783,0.960871696472168
2,0.9648340940475464,0.10674124211072922,0.966185986995697,0.9623575806617737
3,0.9668152332305908,0.10525337606668472,0.9676616787910461,0.9633482098579407
4,0.9628528952598572,0.10299661010503769,0.9657057523727417,0.9623575806617737
0,0.9638434648513794,0.10378805547952652,0.9642679691314697,0.9623575806617737
1,0.9668152332305908,0.10346674174070358,0.9681908488273621,0.9648340940475464
2,0.9638434648513794,0.10342706739902496,0.96517413854599,0.960871696472168
3,0.9638434648513794,0.10227447003126144,0.9647817611694336,0.9633482098579407
4,0.9658246636390686,0.1021808609366417,0.9662865400314331,0.9653293490409851
0,0.9638434648513794,0.10460026562213898,0.9643034338951111,0.9633482098579407
1,0.9633482098579407,0.10578417778015137,0.9632754325866699,0.9613670110702515
2,0.9658246636390686,0.10199131816625595,0.9671968221664429,0.9638434648513794
3,0.9678058624267578,0.10151498764753342,0.968718945980072,0.9663199782371521
4,0.9653293490409851,0.10119584202766418,0.9672293663024902,0.9648340940475464
0,0.9673105478286743,0.1018989309668541,0.9672619104385376,0.9658246636390686
1,0.9653293490409851,0.10191331803798676,0.966749370098114,0.9648340940475464
2,0.9663199782371521,0.10098234564065933,0.966269850730896,0.9648340940475464
3,0.9633482098579407,0.10106211155653,0.9647642970085144,0.9628528952598572
4,0.9633482098579407,0.10103016346693039,0.9652260541915894,0.9623575806617737
0,0.9643387794494629,0.10341879725456238,0.9642502665519714,0.961862325668335
1,0.9648340940475464,0.10145312547683716,0.966749370098114,0.9648340940475464
2,0.9648340940475464,0.1018429845571518,0.9672130942344666,0.9643387794494629
3,0.9648340940475464,0.10179197043180466,0.9676294922828674,0.9623575806617737
4,0.9658246636390686,0.10009707510471344,0.966269850730896,0.9648340940475464
0,0.9633482098579407,0.10152412205934525,0.9633300304412842,0.9628528952598572
1,0.9658246636390686,0.10027611255645752,0.9657398462295532,0.9633482098579407
2,0.9668152332305908,0.1003832221031189,0.9686722755432129,0.9648340940475464
3,0.9678058624267578,0.09924692660570145,0.9677579402923584,0.9663199782371521
4,0.9663199782371521,0.10084918886423111,0.967725932598114,0.9653293490409851
0,0.9663199782371521,0.10187479108572006,0.9672456383705139,0.9653293490409851
1,0.9653293490409851,0.1014040857553482,0.9666997790336609,0.9633482098579407
2,0.9633482098579407,0.10044647008180618,0.9657227993011475,0.9628528952598572
3,0.9648340940475464,0.10366633534431458,0.9662363529205322,0.9638434648513794
4,0.9668152332305908,0.09993772953748703,0.9682066440582275,0.9653293490409851
0,0.9673105478286743,0.09997830539941788,0.9672781229019165,0.9663199782371521
1,0.9692917466163635,0.10077891498804092,0.9712015986442566,0.96879643201828
2,0.9653293490409851,0.10011375695466995,0.9672130942344666,0.9643387794494629
3,0.9633482098579407,0.09936327487230301,0.9652087688446045,0.961862325668335
4,0.9673105478286743,0.09858240187168121,0.969169557094574,0.9653293490409851
0,0.9653293490409851,0.10431218147277832,0.9657568335533142,0.9638434648513794
1,0.9638434648513794,0.10009060055017471,0.9647642970085144,0.9628528952598572
2,0.9658246636390686,0.09930156916379929,0.9672130942344666,0.9643387794494629
3,0.9678058624267578,0.09901272505521774,0.9687345027923584,0.9668152332305908
4,0.9653293490409851,0.09812060743570328,0.9672293663024902,0.9648340940475464
0,0.9658246636390686,0.10046657174825668,0.9667658805847168,0.9653293490409851
1,0.9658246636390686,0.10037220269441605,0.9682066440582275,0.9653293490409851
2,0.9653293490409851,0.09889950603246689,0.9681908488273621,0.9648340940475464
3,0.9658246636390686,0.09934913367033005,0.9672293663024902,0.9648340940475464
4,0.9668152332305908,0.09890131652355194,0.9687034487724304,0.9658246636390686
