epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6874690651893616,0.8786203265190125,0.9159268736839294,0.4343734383583069,0.8992568254470825,0.3088720142841339,0.918384850025177,0.8827415108680725
1,0.8893016576766968,0.31804460287094116,0.9082413911819458,0.8665180802345276,0.9000825881958008,0.27969253063201904,0.9140154719352722,0.8777869343757629
2,0.8980931043624878,0.29479488730430603,0.9160503149032593,0.8741951584815979,0.9033856391906738,0.28984174132347107,0.9196891188621521,0.8794384598731995
3,0.8995789885520935,0.2851812243461609,0.9158288240432739,0.8797672390937805,0.8967795372009277,0.27719318866729736,0.9099405407905579,0.884393036365509
4,0.8997028470039368,0.2826080024242401,0.9122626781463623,0.8806339502334595,0.9075144529342651,0.2655736207962036,0.9263067841529846,0.8926507234573364
5,0.9008172154426575,0.2762075364589691,0.9153085947036743,0.8832342624664307,0.9075144529342651,0.26086875796318054,0.9223549365997314,0.8926507234573364
6,0.8998266458511353,0.2731776237487793,0.9141025543212891,0.8828628063201904,0.9083402156829834,0.26158466935157776,0.9201359152793884,0.894302248954773
7,0.9020555019378662,0.26900607347488403,0.9150677919387817,0.8858345746994019,0.9091659784317017,0.25763821601867676,0.9228813648223877,0.8992568254470825
8,0.9031698703765869,0.2683126628398895,0.9143660664558411,0.8858345746994019,0.9066886901855469,0.2568187117576599,0.9210526347160339,0.8959537744522095
9,0.9018078446388245,0.2662000358104706,0.9158580303192139,0.8881872296333313,0.9099917411804199,0.25503304600715637,0.9211864471435547,0.897605299949646
10,0.9039128422737122,0.2635182738304138,0.9145113825798035,0.8888063430786133,0.9042114019393921,0.25262337923049927,0.9177966117858887,0.894302248954773
11,0.901312530040741,0.26598218083381653,0.9145625829696655,0.888063371181488,0.9050371646881104,0.2572858929634094,0.9192177057266235,0.8926507234573364
12,0.9014363288879395,0.2657412588596344,0.9159320592880249,0.8876919150352478,0.9116432666778564,0.2569766044616699,0.9189189076423645,0.8984310626983643
