epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6243189573287964,1.5731321573257446,0.7295066714286804,0.49257057905197144,0.6055500507354736,1.5935170650482178,0.6403301954269409,0.5381565690040588
1,0.7129766941070557,1.1024525165557861,0.8037493824958801,0.5892768502235413,0.45887017250061035,1.8836936950683594,0.49514561891555786,0.40436074137687683
2,0.7467805743217468,0.9365805983543396,0.8267526030540466,0.6352154612541199,0.8632309436798096,0.5910324454307556,0.8824141621589661,0.8404361009597778
3,0.790366530418396,0.7874823212623596,0.8550790548324585,0.6962605118751526,0.8404361009597778,0.614665150642395,0.9029240012168884,0.7651139497756958
4,0.8041109442710876,0.6937393546104431,0.8635287284851074,0.7223873138427734,0.8414271473884583,0.5589747428894043,0.8495393991470337,0.8225966095924377
5,0.8224368691444397,0.6326297521591187,0.8782923221588135,0.7514858841896057,0.7908820509910583,0.6109067797660828,0.7995910048484802,0.7750247716903687
6,0.8402674794197083,0.5811992287635803,0.8879762291908264,0.7763744592666626,0.7978196144104004,0.6063886284828186,0.8102564215660095,0.7829534411430359
7,0.8514115810394287,0.5362758636474609,0.8928073644638062,0.7930906414985657,0.8394449949264526,0.5444391965866089,0.8500000238418579,0.8255698680877686
8,0.8678801655769348,0.4955565333366394,0.9034020900726318,0.818722128868103,0.8097125887870789,0.5645416975021362,0.8184584379196167,0.799801766872406
9,0.8675086498260498,0.472165048122406,0.9002706408500671,0.8237988948822021,0.8384538888931274,0.5355784296989441,0.8495935201644897,0.8285431265830994
