epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.630510151386261,1.9341678619384766,0.7017515897750854,0.5407379865646362,0.810703694820404,1.2239457368850708,0.8523111343383789,0.7492566704750061
1,0.721272885799408,1.32105553150177,0.7981942296028137,0.6239475011825562,0.8681862950325012,0.8716529607772827,0.8773006200790405,0.8503468632698059
2,0.7841753363609314,0.9886131286621094,0.8542965650558472,0.6955175995826721,0.8632309436798096,0.7397346496582031,0.8728204965591431,0.8434092998504639
3,0.8166171312332153,0.7904201149940491,0.8714389204978943,0.7461614608764648,0.8780971169471741,0.5956693291664124,0.8870803713798523,0.86422199010849
4,0.8372957110404968,0.6665884852409363,0.8826523423194885,0.7730311751365662,0.8889989852905273,0.5202513933181763,0.9019607901573181,0.8662041425704956
5,0.8593363165855408,0.5740125775337219,0.8962147235870361,0.8062159419059753,0.8889989852905273,0.4731127619743347,0.8952668905258179,0.8810703754425049
6,0.8803863525390625,0.500220537185669,0.909753143787384,0.8350668549537659,0.8889989852905273,0.44133344292640686,0.8973842859268188,0.8840436339378357
7,0.891530454158783,0.4592485725879669,0.9154050350189209,0.8535165786743164,0.894945502281189,0.4203289747238159,0.8991008996963501,0.8919722437858582
8,0.9049034118652344,0.4164605736732483,0.9258090257644653,0.8714710474014282,0.8909811973571777,0.4416623115539551,0.8985943794250488,0.8870168328285217
9,0.9143140316009521,0.37927600741386414,0.9342036843299866,0.8860822319984436,0.8989098072052002,0.4175950586795807,0.9040403962135315,0.8870168328285217
