epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.630510151386261,1.9095100164413452,0.7117058038711548,0.5367756485939026,0.8235877156257629,1.1546874046325684,0.8513215780258179,0.766105055809021
1,0.7335314750671387,1.2931344509124756,0.8160716891288757,0.6312531232833862,0.7948463559150696,0.9761227965354919,0.8108941316604614,0.7819623351097107
2,0.7566864490509033,1.0453431606292725,0.8373167514801025,0.650693416595459,0.8592665791511536,0.7098639011383057,0.881156325340271,0.8156590461730957
3,0.797919750213623,0.847079336643219,0.8621674180030823,0.710252583026886,0.8533201217651367,0.6703789234161377,0.8785340189933777,0.8315163254737854
4,0.8244180083274841,0.7176393866539001,0.8717911839485168,0.7485141158103943,0.806739330291748,1.0996416807174683,0.8162436485290527,0.79682856798172
5,0.8469539284706116,0.6170376539230347,0.8890916705131531,0.7841753363609314,0.8325074315071106,0.7467052936553955,0.8461538553237915,0.8176412582397461
6,0.860945999622345,0.5464481115341187,0.8973159193992615,0.8072065114974976,0.8592665791511536,0.5171436667442322,0.8701825737953186,0.8503468632698059
7,0.880510151386261,0.4915219843387604,0.9083210229873657,0.8366765975952148,0.8959365487098694,0.4418167471885681,0.9055837392807007,0.8840436339378357
8,0.8936354517936707,0.45831263065338135,0.919753909111023,0.851535439491272,0.8434092998504639,0.5516396760940552,0.8520041108131409,0.8216055631637573
9,0.9138187170028687,0.393519788980484,0.9347968697547913,0.880510151386261,0.8771060705184937,0.493066668510437,0.8850806355476379,0.8701685070991516
