epoch,accuracy,loss,precision,recall
0,0.975151837,0.087339185,0.975650251,0.973495305
1,0.971838772,0.086837895,0.972345114,0.970734417
2,0.974047482,0.085964695,0.975096822,0.972943127
3,0.974047482,0.084678285,0.97563678,0.972943127
4,0.973495305,0.085253708,0.973451316,0.971838772
0,0.975151837,0.084889509,0.976216793,0.974599659
1,0.974047482,0.084241733,0.975083053,0.97239095
2,0.975151837,0.084635168,0.976769924,0.975151837
3,0.974599659,0.081593372,0.97563678,0.972943127
4,0.974047482,0.082335614,0.975609779,0.971838772
0,0.975151837,0.085467905,0.9767313,0.973495305
1,0.975151837,0.084747918,0.975650251,0.973495305
2,0.975151837,0.082680486,0.977272749,0.973495305
3,0.975704014,0.081364766,0.976229966,0.975151837
4,0.974599659,0.083681062,0.976190448,0.973495305
0,0.973495305,0.084985532,0.974543452,0.97239095
1,0.974047482,0.083180919,0.975663722,0.974047482
2,0.975704014,0.08447019,0.97620368,0.974047482
3,0.974047482,0.081947125,0.974571586,0.973495305
4,0.974047482,0.081963435,0.975650251,0.973495305
0,0.97239095,0.084980898,0.973436654,0.971286595
1,0.976808369,0.08283554,0.977310479,0.975151837
2,0.974599659,0.082291625,0.976190448,0.973495305
3,0.974047482,0.081945471,0.975124359,0.974047482
4,0.97239095,0.084420517,0.973451316,0.971838772
0,0.973495305,0.085834332,0.974018812,0.972943127
1,0.975704014,0.083491139,0.976744175,0.974047482
2,0.974599659,0.083194368,0.975677192,0.974599659
3,0.972943127,0.082914785,0.975055456,0.971286595
4,0.975704014,0.081005588,0.976216793,0.974599659
0,0.974047482,0.084560156,0.97620368,0.974047482
1,0.975704014,0.084290475,0.97620368,0.974047482
2,0.972943127,0.083315976,0.974018812,0.972943127
3,0.975704014,0.082592405,0.97620368,0.974047482
4,0.974599659,0.082395136,0.975650251,0.973495305
0,0.976256192,0.084861964,0.977335572,0.976256192
1,0.975704014,0.083484754,0.976229966,0.975151837
2,0.972943127,0.083006218,0.973465979,0.97239095
3,0.974047482,0.081945635,0.975096822,0.972943127
4,0.97239095,0.083876289,0.973961234,0.970734417
0,0.971838772,0.083374076,0.973990023,0.971838772
1,0.975151837,0.083907202,0.977247477,0.97239095
2,0.975704014,0.083299004,0.977297902,0.974599659
3,0.972943127,0.083781071,0.973990023,0.971838772
4,0.974599659,0.081699289,0.975083053,0.97239095
0,0.971838772,0.083374076,0.973990023,0.971838772
1,0.975151837,0.083907202,0.977247477,0.97239095
2,0.975704014,0.083299004,0.977297902,0.974599659
3,0.972943127,0.083781071,0.973990023,0.971838772
4,0.974599659,0.081699289,0.975083053,0.97239095
