epoch,accuracy,loss,precision,recall
0,0.9505546689033508,0.2143765389919281,0.9721457958221436,0.8960380554199219
1,0.9660855531692505,0.10109887272119522,0.9675366282463074,0.9635499119758606
2,0.962282121181488,0.10128292441368103,0.9649234414100647,0.9591125249862671
3,0.9651346802711487,0.09736732393503189,0.9663064479827881,0.9635499119758606
4,0.9645007848739624,0.09876558929681778,0.9662957191467285,0.9632329344749451
0,0.9651346802711487,0.09849864989519119,0.9672392010688782,0.9638668894767761
1,0.9651346802711487,0.09871450811624527,0.9672079086303711,0.9629160165786743
2,0.9676703810691833,0.09687814116477966,0.9682338237762451,0.9660855531692505
3,0.9654516577720642,0.0976969450712204,0.9669210910797119,0.9635499119758606
4,0.9660855531692505,0.09802738577127457,0.9666454792022705,0.9645007848739624
0,0.966402530670166,0.09755930304527283,0.9672808051109314,0.9651346802711487
1,0.9660855531692505,0.09800685197114944,0.9666030406951904,0.9632329344749451
2,0.9667195081710815,0.09530334919691086,0.9672392010688782,0.9638668894767761
3,0.9683042764663696,0.09571629762649536,0.9682034850120544,0.9651346802711487
4,0.9648177623748779,0.09758801013231277,0.966020941734314,0.9641838073730469
0,0.9679872989654541,0.09678887575864792,0.9697741270065308,0.9660855531692505
1,0.9654516577720642,0.09584777057170868,0.9666348695755005,0.9641838073730469
2,0.9670364260673523,0.09595771133899689,0.9688394069671631,0.9657686352729797
3,0.9683042764663696,0.09537416696548462,0.9691573977470398,0.9660855531692505
4,0.9670364260673523,0.09625107795000076,0.9681934118270874,0.9648177623748779
0,0.9683042764663696,0.09519442170858383,0.9704009890556335,0.966402530670166
1,0.9686212539672852,0.09722951054573059,0.9694656729698181,0.9660855531692505
2,0.9667195081710815,0.0947747454047203,0.9679059386253357,0.9654516577720642
3,0.9625990390777588,0.09661324322223663,0.9640699625015259,0.9610142707824707
4,0.9670364260673523,0.09451017528772354,0.9691279530525208,0.9651346802711487
0,0.9660855531692505,0.09555722773075104,0.9675572514533997,0.9641838073730469
1,0.9679872989654541,0.09427914768457413,0.9688394069671631,0.9657686352729797
2,0.9673534035682678,0.09385979920625687,0.9675984978675842,0.9654516577720642
3,0.9667195081710815,0.09391013532876968,0.9675881862640381,0.9651346802711487
4,0.9679872989654541,0.09472113847732544,0.9685214757919312,0.9654516577720642
0,0.966402530670166,0.09598349779844284,0.9675675630569458,0.9645007848739624
1,0.9657686352729797,0.09626246243715286,0.9672079086303711,0.9629160165786743
2,0.9670364260673523,0.09446384757757187,0.9675778746604919,0.9648177623748779
3,0.9657686352729797,0.09591148793697357,0.9672808051109314,0.9651346802711487
4,0.9667195081710815,0.09349396079778671,0.9685014486312866,0.9648177623748779
0,0.966402530670166,0.09572625905275345,0.9669841527938843,0.9654516577720642
1,0.9654516577720642,0.09638911485671997,0.9669106006622314,0.9632329344749451
2,0.9686212539672852,0.0939268097281456,0.9697933197021484,0.9667195081710815
3,0.9670364260673523,0.09429045766592026,0.9675572514533997,0.9641838073730469
4,0.9667195081710815,0.09397950768470764,0.9682136178016663,0.9654516577720642
0,0.9670364260673523,0.0952911227941513,0.9682136178016663,0.9654516577720642
1,0.9673534035682678,0.09425248950719833,0.9691867828369141,0.9670364260673523
2,0.9679872989654541,0.09421485662460327,0.9694559574127197,0.9657686352729797
3,0.9670364260673523,0.09326020628213882,0.9682338237762451,0.9660855531692505
4,0.9657686352729797,0.09463963657617569,0.9663278460502625,0.9641838073730469
0,0.9673534035682678,0.09505681693553925,0.9675881862640381,0.9651346802711487
1,0.969572126865387,0.09437679499387741,0.970139741897583,0.9679872989654541
2,0.9660855531692505,0.09424184262752533,0.9675366282463074,0.9635499119758606
3,0.9683042764663696,0.09396813809871674,0.9698029160499573,0.9670364260673523
4,0.9657686352729797,0.09473992139101028,0.9678651094436646,0.9641838073730469
