epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0,0.9762178659439087,0.8980240225791931,0.9520112872123718,0.19512122869491577,NA,NA,NA,NA
1,0.970901370048523,0.9654198884963989,0.9685956239700317,0.0886567160487175,NA,NA,NA,NA
2,0.9694927334785461,0.964361310005188,0.9671841859817505,0.08855710923671722,NA,NA,NA,NA
3,0.9706194400787354,0.9675370454788208,0.9685956239700317,0.0868132933974266,NA,NA,NA,NA
4,0.9695683121681213,0.9668313264846802,0.9682427644729614,0.08664610236883163,NA,NA,NA,NA
0,0.9698901772499084,0.9661256074905396,0.9678899049758911,0.08917569369077682,NA,NA,NA,NA
1,0.970588207244873,0.9664784669876099,0.9675370454788208,0.085179403424263,NA,NA,NA,NA
2,0.9695790410041809,0.9671841859817505,0.9682427644729614,0.08555000275373459,NA,NA,NA,NA
3,0.9695467352867126,0.9661256074905396,0.9678899049758911,0.08549065887928009,NA,NA,NA,NA
4,0.9695898294448853,0.9675370454788208,0.9685956239700317,0.08486315608024597,NA,NA,NA,NA
0,0.9684955477714539,0.9654198884963989,0.9671841859817505,0.08846183866262436,NA,NA,NA,NA
1,0.9716714024543762,0.9682427644729614,0.9693013429641724,0.08573745936155319,NA,NA,NA,NA
2,0.9713172912597656,0.9678899049758911,0.9685956239700317,0.0835592970252037,NA,NA,NA,NA
3,0.9716412425041199,0.9671841859817505,0.9703599214553833,0.08562934398651123,NA,NA,NA,NA
4,0.9709426164627075,0.9668313264846802,0.9693013429641724,0.08435734361410141,NA,NA,NA,NA
0,0.9713274240493774,0.9682427644729614,0.970007061958313,0.08516135066747665,NA,NA,NA,NA
1,0.9730783104896545,0.9693013429641724,0.9717713594436646,0.08344102650880814,NA,NA,NA,NA
2,0.9702233076095581,0.9657727479934692,0.9678899049758911,0.08403902500867844,NA,NA,NA,NA
3,0.9709426164627075,0.9668313264846802,0.9693013429641724,0.08389683067798615,NA,NA,NA,NA
4,0.9720354080200195,0.968948483467102,0.9703599214553833,0.0855599120259285,NA,NA,NA,NA
0,0.9684844017028809,0.9650670289993286,0.9661256074905396,0.08456201106309891,NA,NA,NA,NA
1,0.9734325408935547,0.9696542024612427,0.9721242189407349,0.08455192297697067,NA,NA,NA,NA
2,0.9716613292694092,0.9678899049758911,0.9703599214553833,0.08466693758964539,NA,NA,NA,NA
3,0.9713375568389893,0.9685956239700317,0.9693013429641724,0.08296491950750351,NA,NA,NA,NA
4,0.971307098865509,0.9675370454788208,0.9693013429641724,0.08377023786306381,NA,NA,NA,NA
0,0.9705986380577087,0.9668313264846802,0.9682427644729614,0.0864158347249031,NA,NA,NA,NA
1,0.970588207244873,0.9664784669876099,0.968948483467102,0.08591359108686447,NA,NA,NA,NA
2,0.9709528684616089,0.9671841859817505,0.9693013429641724,0.08502283692359924,NA,NA,NA,NA
3,0.9695035219192505,0.9647141695022583,0.9671841859817505,0.08366608619689941,NA,NA,NA,NA
4,0.9723697900772095,0.9685956239700317,0.970007061958313,0.08405380696058273,NA,NA,NA,NA
0,0.9681077003479004,0.9640084505081177,0.9668313264846802,0.08644325286149979,NA,NA,NA,NA
1,0.9713274240493774,0.9682427644729614,0.9693013429641724,0.08296595513820648,NA,NA,NA,NA
2,0.9688605666160583,0.9661256074905396,0.9678899049758911,0.08433341234922409,NA,NA,NA,NA
3,0.9723207950592041,0.9668313264846802,0.9696542024612427,0.08370684832334518,NA,NA,NA,NA
4,0.9698795080184937,0.9657727479934692,0.9693013429641724,0.08257320523262024,NA,NA,NA,NA
0,0.9709323048591614,0.9664784669876099,0.9696542024612427,0.08438123017549515,NA,NA,NA,NA
1,0.9730591773986816,0.9685956239700317,0.9703599214553833,0.08430509269237518,NA,NA,NA,NA
2,0.971307098865509,0.9675370454788208,0.9696542024612427,0.08378101140260696,NA,NA,NA,NA
3,0.9720255136489868,0.9685956239700317,0.9703599214553833,0.08187373727560043,NA,NA,NA,NA
4,0.9713172912597656,0.9678899049758911,0.9696542024612427,0.08355510234832764,NA,NA,NA,NA
0,0.9688053727149963,0.964361310005188,0.9671841859817505,0.08481480181217194,NA,NA,NA,NA
1,0.9720453023910522,0.9693013429641724,0.9710656404495239,0.08278433978557587,NA,NA,NA,NA
2,0.970588207244873,0.9664784669876099,0.968948483467102,0.08359086513519287,NA,NA,NA,NA
3,0.970629870891571,0.9678899049758911,0.968948483467102,0.08369142562150955,NA,NA,NA,NA
4,0.9723796248435974,0.968948483467102,0.9696542024612427,0.0822005346417427,NA,NA,NA,NA
