client_id,round,epoch,epoch_time,total_fit_time,peak_ram_gb,peak_gpu_mem_mb,peak_gpu_util_pct
3,0,1,3.5170,8.0321,12.50,0.00,0.00
3,0,2,1.1579,8.0321,12.50,0.00,0.00
3,0,3,1.0383,8.0321,12.50,0.00,0.00
3,0,4,0.9398,8.0321,12.50,0.00,0.00
3,0,5,0.9739,8.0321,12.50,0.00,0.00
3,0,1,1.0163,4.5076,12.61,0.00,0.00
3,0,2,0.8920,4.5076,12.61,0.00,0.00
3,0,3,0.9674,4.5076,12.61,0.00,0.00
3,0,4,0.8040,4.5076,12.61,0.00,0.00
3,0,5,0.6656,4.5076,12.61,0.00,0.00
3,0,1,0.9392,5.0082,12.63,0.00,0.00
3,0,2,1.2900,5.0082,12.63,0.00,0.00
3,0,3,1.3356,5.0082,12.63,0.00,0.00
3,0,4,0.6285,5.0082,12.63,0.00,0.00
3,0,5,0.6022,5.0082,12.63,0.00,0.00
3,0,1,1.0027,5.0126,12.70,0.00,0.00
3,0,2,0.7754,5.0126,12.70,0.00,0.00
3,0,3,0.9981,5.0126,12.70,0.00,0.00
3,0,4,0.9453,5.0126,12.70,0.00,0.00
3,0,5,0.8939,5.0126,12.70,0.00,0.00
3,0,1,1.1244,5.0119,12.68,0.00,0.00
3,0,2,1.0050,5.0119,12.68,0.00,0.00
3,0,3,0.9883,5.0119,12.68,0.00,0.00
3,0,4,0.9405,5.0119,12.68,0.00,0.00
3,0,5,0.6743,5.0119,12.68,0.00,0.00
3,0,1,1.1007,5.0090,12.67,0.00,0.00
3,0,2,1.0762,5.0090,12.67,0.00,0.00
3,0,3,0.9627,5.0090,12.67,0.00,0.00
3,0,4,0.9897,5.0090,12.67,0.00,0.00
3,0,5,0.7445,5.0090,12.67,0.00,0.00
3,0,1,0.9238,4.0080,12.65,0.00,0.00
3,0,2,0.8583,4.0080,12.65,0.00,0.00
3,0,3,0.7385,4.0080,12.65,0.00,0.00
3,0,4,0.7472,4.0080,12.65,0.00,0.00
3,0,5,0.6117,4.0080,12.65,0.00,0.00
3,0,1,0.8889,4.5099,12.67,0.00,0.00
3,0,2,0.9578,4.5099,12.67,0.00,0.00
3,0,3,0.8955,4.5099,12.67,0.00,0.00
3,0,4,0.7803,4.5099,12.67,0.00,0.00
3,0,5,0.5197,4.5099,12.67,0.00,0.00
3,0,1,0.9073,4.5081,12.66,0.00,0.00
3,0,2,0.8138,4.5081,12.66,0.00,0.00
3,0,3,0.8642,4.5081,12.66,0.00,0.00
3,0,4,0.9302,4.5081,12.66,0.00,0.00
3,0,5,0.5659,4.5081,12.66,0.00,0.00
3,0,1,0.9163,5.0109,12.68,0.00,0.00
3,0,2,0.9953,5.0109,12.68,0.00,0.00
3,0,3,0.9964,5.0109,12.68,0.00,0.00
3,0,4,0.9363,5.0109,12.68,0.00,0.00
3,0,5,0.7178,5.0109,12.68,0.00,0.00
3,0,1,2.7537,6.5120,12.86,0.00,0.00
3,0,2,0.8762,6.5120,12.86,0.00,0.00
3,0,3,0.8131,6.5120,12.86,0.00,0.00
3,0,4,1.1653,6.5120,12.86,0.00,0.00
3,0,5,0.6587,6.5120,12.86,0.00,0.00
3,0,1,1.1412,4.5109,12.86,0.00,0.00
3,0,2,0.8367,4.5109,12.86,0.00,0.00
3,0,3,0.7595,4.5109,12.86,0.00,0.00
3,0,4,0.6900,4.5109,12.86,0.00,0.00
3,0,5,0.6662,4.5109,12.86,0.00,0.00
3,0,1,1.0119,5.5103,12.89,0.00,0.00
3,0,2,0.8396,5.5103,12.89,0.00,0.00
3,0,3,0.9844,5.5103,12.89,0.00,0.00
3,0,4,1.0258,5.5103,12.89,0.00,0.00
3,0,5,1.3137,5.5103,12.89,0.00,0.00
3,0,1,1.0341,4.5116,12.88,0.00,0.00
3,0,2,0.9882,4.5116,12.88,0.00,0.00
3,0,3,0.8653,4.5116,12.88,0.00,0.00
3,0,4,0.6990,4.5116,12.88,0.00,0.00
3,0,5,0.5842,4.5116,12.88,0.00,0.00
3,0,1,1.0347,5.0080,12.85,0.00,0.00
3,0,2,0.9258,5.0080,12.85,0.00,0.00
3,0,3,0.9134,5.0080,12.85,0.00,0.00
3,0,4,1.2217,5.0080,12.85,0.00,0.00
3,0,5,0.5730,5.0080,12.85,0.00,0.00
3,0,1,0.9956,4.5107,12.86,0.00,0.00
3,0,2,0.9080,4.5107,12.86,0.00,0.00
3,0,3,0.8608,4.5107,12.86,0.00,0.00
3,0,4,0.7664,4.5107,12.86,0.00,0.00
3,0,5,0.5997,4.5107,12.86,0.00,0.00
3,0,1,0.9616,4.5082,12.87,0.00,0.00
3,0,2,0.9944,4.5082,12.87,0.00,0.00
3,0,3,0.8402,4.5082,12.87,0.00,0.00
3,0,4,0.7901,4.5082,12.87,0.00,0.00
3,0,5,0.5681,4.5082,12.87,0.00,0.00
3,0,1,1.0802,6.5399,12.94,0.00,0.00
3,0,2,1.1022,6.5399,12.94,0.00,0.00
3,0,3,1.2313,6.5399,12.94,0.00,0.00
3,0,4,1.9621,6.5399,12.94,0.00,0.00
3,0,5,0.7083,6.5399,12.94,0.00,0.00
3,0,1,1.0711,4.5072,12.94,0.00,0.00
3,0,2,1.0357,4.5072,12.94,0.00,0.00
3,0,3,0.8777,4.5072,12.94,0.00,0.00
3,0,4,0.8565,4.5072,12.94,0.00,0.00
3,0,5,0.5641,4.5072,12.94,0.00,0.00
3,0,1,1.0230,5.0090,12.99,0.00,0.00
3,0,2,0.9120,5.0090,12.99,0.00,0.00
3,0,3,0.9347,5.0090,12.99,0.00,0.00
3,0,4,0.8172,5.0090,12.99,0.00,0.00
3,0,5,0.7629,5.0090,12.99,0.00,0.00
3,0,1,2.2574,6.0097,12.14,0.00,0.00
3,0,2,0.7458,6.0097,12.14,0.00,0.00
3,0,3,0.8813,6.0097,12.14,0.00,0.00
3,0,4,1.1855,6.0097,12.14,0.00,0.00
3,0,5,0.5244,6.0097,12.14,0.00,0.00
3,0,1,0.6915,4.5068,12.18,0.00,0.00
3,0,2,0.6777,4.5068,12.18,0.00,0.00
3,0,3,0.7268,4.5068,12.18,0.00,0.00
3,0,4,0.9618,4.5068,12.18,0.00,0.00
3,0,5,0.8856,4.5068,12.18,0.00,0.00
3,0,1,0.6871,4.0082,12.18,0.00,0.00
3,0,2,0.6442,4.0082,12.18,0.00,0.00
3,0,3,0.7624,4.0082,12.18,0.00,0.00
3,0,4,0.6823,4.0082,12.18,0.00,0.00
3,0,5,0.6755,4.0082,12.18,0.00,0.00
3,0,1,0.7774,4.0084,12.24,0.00,0.00
3,0,2,0.8311,4.0084,12.24,0.00,0.00
3,0,3,0.6842,4.0084,12.24,0.00,0.00
3,0,4,0.6910,4.0084,12.24,0.00,0.00
3,0,5,0.6907,4.0084,12.24,0.00,0.00
3,0,1,0.6929,4.0068,12.19,0.00,0.00
3,0,2,0.7065,4.0068,12.19,0.00,0.00
3,0,3,0.7007,4.0068,12.19,0.00,0.00
3,0,4,0.7392,4.0068,12.19,0.00,0.00
3,0,5,0.5821,4.0068,12.19,0.00,0.00
3,0,1,0.7286,4.0084,12.19,0.00,0.00
3,0,2,0.6185,4.0084,12.19,0.00,0.00
3,0,3,0.8129,4.0084,12.19,0.00,0.00
3,0,4,0.7419,4.0084,12.19,0.00,0.00
3,0,5,0.7720,4.0084,12.19,0.00,0.00
3,0,1,0.7490,4.5085,12.06,0.00,0.00
3,0,2,0.7450,4.5085,12.06,0.00,0.00
3,0,3,0.9044,4.5085,12.06,0.00,0.00
3,0,4,1.0642,4.5085,12.06,0.00,0.00
3,0,5,0.8030,4.5085,12.06,0.00,0.00
