Class,Precision,Recall (Sensitivity),Specificity,F1-score
0,0.9519230769230769,0.8918918918918919,0.9882903981264637,0.9209302325581394
1,1.0,1.0,1.0,1.0
2,0.9826086956521739,0.9658119658119658,0.995249406175772,0.9741379310344828
3,1.0,1.0,1.0,1.0
4,0.8518518518518519,0.9292929292929293,0.9635535307517085,0.8888888888888888
0,0.9107142857142857,0.918918918918919,0.9765807962529274,0.914798206278027
1,1.0,1.0,1.0,1.0
2,0.9741379310344828,0.9658119658119658,0.9928741092636579,0.9699570815450644
3,1.0,1.0,1.0,1.0
4,0.8787878787878788,0.8787878787878788,0.9726651480637813,0.8787878787878788
0,0.9351851851851852,0.9099099099099099,0.9836065573770492,0.9223744292237445
1,1.0,1.0,1.0,1.0
2,0.9824561403508771,0.9572649572649573,0.995249406175772,0.9696969696969696
3,1.0,1.0,1.0,1.0
4,0.8666666666666667,0.9191919191919192,0.9681093394077449,0.8921568627450981
0,0.9528301886792453,0.9099099099099099,0.9882903981264637,0.9308755760368664
1,1.0,1.0,1.0,1.0
2,0.9743589743589743,0.9743589743589743,0.9928741092636579,0.9743589743589743
3,1.0,1.0,1.0,1.0
4,0.875,0.9191919191919192,0.9703872437357631,0.896551724137931
0,0.926605504587156,0.9099099099099099,0.9812646370023419,0.9181818181818182
1,1.0,1.0,1.0,1.0
2,0.9826086956521739,0.9658119658119658,0.995249406175772,0.9741379310344828
3,1.0,1.0,1.0,1.0
4,0.8737864077669902,0.9090909090909091,0.9703872437357631,0.891089108910891
0,0.9439252336448598,0.9099099099099099,0.9859484777517564,0.926605504587156
1,1.0,1.0,1.0,1.0
2,0.9827586206896551,0.9743589743589743,0.995249406175772,0.9785407725321887
3,1.0,1.0,1.0,1.0
4,0.875,0.9191919191919192,0.9703872437357631,0.896551724137931
0,0.9107142857142857,0.918918918918919,0.9765807962529274,0.914798206278027
1,1.0,1.0,1.0,1.0
2,0.9743589743589743,0.9743589743589743,0.9928741092636579,0.9743589743589743
3,1.0,1.0,1.0,1.0
4,0.8775510204081632,0.8686868686868687,0.9726651480637813,0.8730964467005075
0,0.9035087719298246,0.9279279279279279,0.9742388758782201,0.9155555555555556
1,1.0,1.0,1.0,1.0
2,0.9826086956521739,0.9658119658119658,0.995249406175772,0.9741379310344828
3,1.0,1.0,1.0,1.0
4,0.8877551020408163,0.8787878787878788,0.9749430523917996,0.8832487309644671
0,0.9439252336448598,0.9099099099099099,0.9859484777517564,0.926605504587156
1,1.0,1.0,1.0,1.0
2,0.9743589743589743,0.9743589743589743,0.9928741092636579,0.9743589743589743
3,1.0,1.0,1.0,1.0
4,0.8737864077669902,0.9090909090909091,0.9703872437357631,0.891089108910891
0,0.9439252336448598,0.9099099099099099,0.9859484777517564,0.926605504587156
1,1.0,1.0,1.0,1.0
