0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,6,0,4,0,105
0,111,0,0,0,10
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,5,0,3,0,107
0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,5,1,3,0,106
0,111,0,0,0,10
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,5,1,3,0,106
0,112,0,0,0,9
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,5,1,3,0,106
0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,6,1,3,0,105
0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,6,1,3,0,105
0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,7,1,4,0,103
0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,6,1,3,0,105
0,113,0,0,0,8
1,0,93,0,0,0
2,0,0,87,0,1
3,0,0,0,87,0
4,6,1,3,0,105
0,110,0,2,0,6
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,7,0,1,0,83
0,110,0,2,0,6
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,5,0,1,0,85
0,110,0,2,0,6
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,7,0,1,0,83
0,111,0,2,0,5
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,8,1,1,0,81
0,109,0,2,0,7
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,5,1,1,0,84
0,111,0,2,0,5
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,7,1,1,0,82
0,109,0,2,0,7
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,5,0,1,0,85
0,109,0,2,0,7
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,5,0,1,0,85
0,110,0,2,0,6
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,7,1,1,0,82
0,111,0,2,0,5
1,0,94,1,0,0
2,0,0,109,0,4
3,0,0,0,87,0
4,8,1,1,0,81
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,6,0,2,1,98
0,107,0,0,0,3
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,10,1,2,1,93
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,8,1,3,1,94
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,8,1,3,1,94
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,5,1,2,0,99
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,4,1,2,0,100
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,9,1,2,0,95
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,7,1,2,0,97
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,7,1,2,0,97
0,106,0,0,0,4
1,0,92,0,0,0
2,0,0,111,0,2
3,0,0,0,82,0
4,8,1,2,0,96
0,130,0,0,0,8
1,0,113,1,0,0
2,0,0,128,0,2
3,0,0,0,135,0
4,7,0,5,1,112
0,131,0,0,0,7
1,0,113,1,0,0
2,0,0,128,0,2
3,0,0,0,135,0
4,9,1,5,1,109
0,131,0,0,0,7
1,0,113,1,0,0
2,0,0,128,0,2
3,0,0,0,135,0
4,7,1,5,0,112
0,132,0,0,0,6
1,0,113,1,0,0
2,0,0,128,0,2
3,0,0,0,135,0
4,11,1,5,0,108
0,132,0,0,0,6
1,0,113,1,0,0
2,0,0,128,0,2
3,0,0,0,135,0
4,11,1,5,0,108
0,133,0,1,0,4
1,0,113,1,0,0
2,0,0,128,0,2
