client_id,round,epoch,epoch_time,total_fit_time,peak_ram_gb,peak_gpu_mem_mb,peak_gpu_util_pct
1,0,1,3.2351,7.0176,12.47,0.00,0.00
1,0,2,0.7122,7.0176,12.47,0.00,0.00
1,0,3,0.7315,7.0176,12.47,0.00,0.00
1,0,4,0.7469,7.0176,12.47,0.00,0.00
1,0,5,1.2415,7.0176,12.47,0.00,0.00
1,0,1,0.7226,4.0081,12.61,0.00,0.00
1,0,2,1.1968,4.0081,12.61,0.00,0.00
1,0,3,0.7327,4.0081,12.61,0.00,0.00
1,0,4,0.6146,4.0081,12.61,0.00,0.00
1,0,5,0.5358,4.0081,12.61,0.00,0.00
1,0,1,0.6484,4.0078,12.63,0.00,0.00
1,0,2,0.6378,4.0078,12.63,0.00,0.00
1,0,3,0.6978,4.0078,12.63,0.00,0.00
1,0,4,1.2475,4.0078,12.63,0.00,0.00
1,0,5,0.5816,4.0078,12.63,0.00,0.00
1,0,1,0.7400,4.5130,12.70,0.00,0.00
1,0,2,1.2059,4.5130,12.70,0.00,0.00
1,0,3,0.7021,4.5130,12.70,0.00,0.00
1,0,4,0.6482,4.5130,12.70,0.00,0.00
1,0,5,0.6883,4.5130,12.70,0.00,0.00
1,0,1,0.7916,4.0114,12.68,0.00,0.00
1,0,2,0.7586,4.0114,12.68,0.00,0.00
1,0,3,0.6677,4.0114,12.68,0.00,0.00
1,0,4,0.6868,4.0114,12.68,0.00,0.00
1,0,5,0.7278,4.0114,12.68,0.00,0.00
1,0,1,0.7745,5.0109,12.67,0.00,0.00
1,0,2,0.7540,5.0109,12.67,0.00,0.00
1,0,3,0.7572,5.0109,12.67,0.00,0.00
1,0,4,1.2859,5.0109,12.67,0.00,0.00
1,0,5,1.1094,5.0109,12.67,0.00,0.00
1,0,1,0.6592,3.5053,12.65,0.00,0.00
1,0,2,0.5651,3.5053,12.65,0.00,0.00
1,0,3,0.7408,3.5053,12.65,0.00,0.00
1,0,4,0.4849,3.5053,12.65,0.00,0.00
1,0,5,0.5343,3.5053,12.65,0.00,0.00
1,0,1,0.6242,3.5087,12.67,0.00,0.00
