Class,Precision,Recall (Sensitivity),Specificity,F1-score
0,0.9680365296803652,0.8983050847457628,0.9922480620155039,0.9318681318681319
1,1.0,0.9954128440366973,1.0,0.9977011494252873
2,0.9742489270386266,0.978448275862069,0.9933847850055126,0.9763440860215055
3,1.0,1.0,1.0,1.0
4,0.8884462151394422,0.9529914529914529,0.969060773480663,0.9195876288659794
0,0.9411764705882353,0.9491525423728814,0.9844961240310077,0.9451476793248945
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9700854700854701,0.978448275862069,0.9922822491730982,0.9742489270386265
3,1.0,1.0,1.0,1.0
4,0.9304347826086956,0.9145299145299145,0.9823204419889503,0.9224137931034483
0,0.9484978540772532,0.9364406779661016,0.9867109634551495,0.9424307036247335
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9742489270386266,0.978448275862069,0.9933847850055126,0.9763440860215055
3,1.0,1.0,1.0,1.0
4,0.9194915254237288,0.9273504273504274,0.9790055248618784,0.923404255319149
0,0.9525862068965517,0.9364406779661016,0.9878183831672204,0.9444444444444444
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,1.0,1.0,1.0,1.0
4,0.9191489361702128,0.9230769230769231,0.9790055248618784,0.9211087420042644
0,0.9446808510638298,0.940677966101695,0.9856035437430787,0.9426751592356688
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,1.0,1.0,1.0,1.0
4,0.9224137931034483,0.9145299145299145,0.980110497237569,0.9184549356223175
0,0.9567099567099567,0.9364406779661016,0.9889258028792912,0.9464668094218416
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,1.0,1.0,1.0,1.0
4,0.9194915254237288,0.9273504273504274,0.9790055248618784,0.923404255319149
0,0.9411764705882353,0.9491525423728814,0.9844961240310077,0.9451476793248945
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,1.0,1.0,1.0,1.0
4,0.9301310043668122,0.9102564102564102,0.9823204419889503,0.9200863930885529
0,0.9411764705882353,0.9491525423728814,0.9844961240310077,0.9451476793248945
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,0.9954545454545455,1.0,0.9989130434782608,0.9977220956719818
4,0.9298245614035088,0.905982905982906,0.9823204419889503,0.9177489177489178
0,0.9484978540772532,0.9364406779661016,0.9867109634551495,0.9424307036247335
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,0.9954545454545455,1.0,0.9989130434782608,0.9977220956719818
4,0.9184549356223176,0.9145299145299145,0.9790055248618784,0.9164882226980727
0,0.9606986899563319,0.9322033898305084,0.9900332225913622,0.9462365591397849
1,0.9954128440366973,0.9954128440366973,0.998914223669924,0.9954128440366973
2,0.9659574468085106,0.978448275862069,0.9911797133406836,0.9721627408993575
3,0.9954545454545455,1.0,0.9989130434782608,0.9977220956719818
4,0.9156118143459916,0.9273504273504274,0.9779005524861878,0.921443736730361
0,0.9341085271317829,0.9305019305019305,0.9815618221258134,0.9323017408123792
1,1.0,1.0,1.0,1.0
2,0.9598393574297188,0.9755102040816327,0.9893162393162394,0.9676113360323886
3,1.0,1.0,1.0,1.0
4,0.90625,0.8942731277533039,0.9779874213836478,0.9002217294900221
0,0.9448818897637795,0.9266409266409267,0.9848156182212582,0.935672514619883
1,1.0,1.0,1.0,1.0
2,0.9637096774193549,0.9755102040816327,0.9903846153846154,0.9695740365111561
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.8991228070175439,0.9030837004405287,0.9758909853249476,0.9010989010989011
0,0.9239543726235742,0.9382239382239382,0.9783080260303688,0.9310344827586208
1,1.0,1.0,1.0,1.0
2,0.956,0.9755102040816327,0.9882478632478633,0.9656565656565657
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.9124423963133641,0.8722466960352423,0.980083857442348,0.891891891891892
0,0.9305019305019305,0.9305019305019305,0.9804772234273319,0.9305019305019305
1,1.0,1.0,1.0,1.0
2,0.956,0.9755102040816327,0.9882478632478633,0.9656565656565657
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.9049773755656109,0.8810572687224669,0.9779874213836478,0.8928571428571428
0,0.9341085271317829,0.9305019305019305,0.9815618221258134,0.9323017408123792
1,1.0,1.0,1.0,1.0
2,0.9637096774193549,0.9755102040816327,0.9903846153846154,0.9695740365111561
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.9017857142857143,0.8898678414096917,0.9769392033542977,0.8957871396895788
0,0.9233716475095786,0.9305019305019305,0.9783080260303688,0.926923076923077
1,1.0,1.0,1.0,1.0
2,0.956,0.9755102040816327,0.9882478632478633,0.9656565656565657
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.9041095890410958,0.8722466960352423,0.9779874213836478,0.8878923766816142
0,0.933852140077821,0.9266409266409267,0.9815618221258134,0.9302325581395349
1,1.0,1.0,1.0,1.0
2,0.956,0.9755102040816327,0.9882478632478633,0.9656565656565657
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.9013452914798207,0.8854625550660793,0.9769392033542977,0.8933333333333332
0,0.9375,0.9266409266409267,0.982646420824295,0.9320388349514563
1,1.0,1.0,1.0,1.0
2,0.956,0.9755102040816327,0.9882478632478633,0.9656565656565657
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.9017857142857143,0.8898678414096917,0.9769392033542977,0.8957871396895788
0,0.9411764705882353,0.9266409266409267,0.9837310195227765,0.9338521400778209
1,1.0,1.0,1.0,1.0
2,0.9637096774193549,0.9755102040816327,0.9903846153846154,0.9695740365111561
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.8986784140969163,0.8986784140969163,0.9758909853249476,0.8986784140969163
0,0.9341085271317829,0.9305019305019305,0.9815618221258134,0.9323017408123792
1,1.0,1.0,1.0,1.0
2,0.9598393574297188,0.9755102040816327,0.9893162393162394,0.9676113360323886
3,0.9954954954954955,1.0,0.9989583333333333,0.9977426636568849
4,0.905829596412556,0.8898678414096917,0.9779874213836478,0.8977777777777778
0,0.9516129032258065,1.0,0.9852941176470589,0.9752066115702479
1,1.0,1.0,1.0,1.0
2,0.9591836734693877,1.0,0.9907407407407407,0.9791666666666666
3,1.0,1.0,1.0,1.0
4,1.0,0.875,1.0,0.9333333333333333
0,0.9672131147540983,1.0,0.9901960784313726,0.9833333333333333
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.95,1.0,0.9743589743589743
0,0.9516129032258065,1.0,0.9852941176470589,0.9752066115702479
1,1.0,1.0,1.0,1.0
2,0.9791666666666666,1.0,0.9953703703703703,0.9894736842105264
3,1.0,1.0,1.0,1.0
4,1.0,0.9,1.0,0.9473684210526316
0,0.9672131147540983,1.0,0.9901960784313726,0.9833333333333333
1,1.0,1.0,1.0,1.0
2,1.0,0.9787234042553191,1.0,0.989247311827957
3,1.0,1.0,1.0,1.0
4,0.9743589743589743,0.95,0.9955156950672646,0.9620253164556962
0,0.9516129032258065,1.0,0.9852941176470589,0.9752066115702479
