Class,Precision,Recall (Sensitivity),Specificity,F1-score
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9166666666666666,1.0,0.9666666666666667,0.9565217391304348
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,0.8888888888888888,1.0,0.9411764705882353
0,0.9423076923076923,0.9074074074074074,0.9883720930232558,0.9245283018867925
1,0.9852941176470589,0.9852941176470589,0.9959016393442623,0.9852941176470589
2,0.9661016949152542,0.9827586206896551,0.9921259842519685,0.9743589743589743
3,1.0,1.0,1.0,1.0
4,0.9333333333333333,0.9459459459459459,0.9789915966386554,0.9395973154362416
