epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.789128303527832,0.7546380758285522,0.9305647015571594,0.5243932604789734,0.8530140519142151,0.4059818983078003,0.8990825414657593,0.8092485666275024
1,0.8641654253005981,0.3704462945461273,0.8889328837394714,0.8334571719169617,0.8530140519142151,0.37177032232284546,0.8799299001693726,0.8290668725967407
2,0.8657751083374023,0.35431450605392456,0.885269284248352,0.8446012735366821,0.8612716794013977,0.37112632393836975,0.890748918056488,0.8348472118377686
3,0.8639177680015564,0.3517840504646301,0.88260418176651,0.8443536162376404,0.8546655774116516,0.3647991418838501,0.8824042081832886,0.8364987373352051
4,0.8647845387458801,0.3487362563610077,0.882512629032135,0.8454680442810059,0.8505367636680603,0.361176073551178,0.8836395740509033,0.8340214490890503
5,0.8652798533439636,0.34787729382514954,0.8823074102401733,0.8465824723243713,0.8513625264167786,0.3637580871582031,0.87870854139328,0.8315441608428955
6,0.8635463118553162,0.34817320108413696,0.881380021572113,0.8446012735366821,0.8513625264167786,0.361367404460907,0.8801400065422058,0.8307183980941772
7,0.8647845387458801,0.3463580310344696,0.882512629032135,0.8454680442810059,0.8505367636680603,0.35901814699172974,0.8723037242889404,0.8348472118377686
8,0.8646607398986816,0.34676316380500793,0.8815025091171265,0.8455919027328491,0.8530140519142151,0.3580796420574188,0.8782608509063721,0.8340214490890503
9,0.8640416264533997,0.34610259532928467,0.8833117485046387,0.8454680442810059,0.8521882891654968,0.36232849955558777,0.8809106945991516,0.8307183980941772
10,0.8652798533439636,0.3448494076728821,0.8838893175125122,0.8464586138725281,0.849711000919342,0.3564063012599945,0.8767361044883728,0.8340214490890503
11,0.8655275106430054,0.34503173828125,0.883303165435791,0.8463348150253296,0.8521882891654968,0.3555547893047333,0.8740293383598328,0.8364987373352051
12,0.8661466240882874,0.3443557322025299,0.8830582499504089,0.848068356513977,0.8563171029090881,0.3547159731388092,0.8801042437553406,0.8364987373352051
13,0.8636701107025146,0.34479427337646484,0.8830681443214417,0.8453442454338074,0.8546655774116516,0.35581666231155396,0.8810763955116272,0.8381502628326416
14,0.8654036521911621,0.34529393911361694,0.883029580116272,0.8459633588790894,0.8530140519142151,0.35608717799186707,0.8783666491508484,0.8348472118377686
15,0.8656513094902039,0.34408146142959595,0.8833117485046387,0.8454680442810059,0.8538398146629333,0.3560883104801178,0.8811795115470886,0.8389760255813599
16,0.8655275106430054,0.34371939301490784,0.8828619122505188,0.8464586138725281,0.849711000919342,0.3561665713787079,0.8804537653923035,0.833195686340332
17,0.8646607398986816,0.3436886966228485,0.8827104568481445,0.8452203869819641,0.8538398146629333,0.3556126058101654,0.8799999952316284,0.8356729745864868
18,0.8655275106430054,0.3439342975616455,0.8839135766029358,0.8457157015800476,0.8513625264167786,0.3529711961746216,0.871772825717926,0.8364987373352051
19,0.8668895363807678,0.3433865010738373,0.8848492503166199,0.8468301296234131,0.8505367636680603,0.3544923961162567,0.8739205598831177,0.8356729745864868
20,0.8629271984100342,0.34343138337135315,0.8814392685890198,0.8432392477989197,0.8579686284065247,0.35372471809387207,0.8823016285896301,0.8356729745864868
21,0.8646607398986816,0.3430050015449524,0.8838383555412292,0.8450965881347656,0.8554913401603699,0.35257208347320557,0.8799999952316284,0.8356729745864868
22,0.8634225130081177,0.3441133201122284,0.8821857571601868,0.8455919027328491,0.8554913401603699,0.35170233249664307,0.8785776495933533,0.8364987373352051
23,0.8660227656364441,0.3423110544681549,0.8846452832221985,0.8460871577262878,0.8604459166526794,0.357453316450119,0.8836805820465088,0.8406275510787964
24,0.8646607398986816,0.34296733140945435,0.885603129863739,0.8454680442810059,0.8546655774116516,0.3522341251373291,0.8797909617424011,0.8340214490890503
25,0.8649083971977234,0.34308797121047974,0.8848799467086792,0.8442298173904419,0.8596201539039612,0.3556397259235382,0.8856152296066284,0.8439306616783142
26,0.8646607398986816,0.34341537952423096,0.8837540745735168,0.8453442454338074,0.8530140519142151,0.3526553511619568,0.8792354464530945,0.8356729745864868
27,0.8655275106430054,0.3424331545829773,0.8827862739562988,0.8458395004272461,0.8538398146629333,0.35244399309158325,0.8839441537857056,0.8364987373352051
28,0.8644130825996399,0.3423195481300354,0.8836697936058044,0.8455919027328491,0.8604459166526794,0.3528522253036499,0.8819444179534912,0.8389760255813599
29,0.8641654253005981,0.34301039576530457,0.8844005465507507,0.8431153893470764,0.8554913401603699,0.35366290807724,0.8852889537811279,0.8348472118377686
30,0.8651559948921204,0.3425101935863495,0.8839285969734192,0.8458395004272461,0.8596201539039612,0.35433250665664673,0.8876306414604187,0.8414533734321594
31,0.8650321960449219,0.34259936213493347,0.8837841153144836,0.8455919027328491,0.8488852381706238,0.3523283898830414,0.8791304230690002,0.8348472118377686
32,0.8647845387458801,0.3424754738807678,0.8843810558319092,0.8448489308357239,0.8521882891654968,0.3524636924266815,0.8783666491508484,0.8348472118377686
33,0.8651559948921204,0.342710018157959,0.8832598924636841,0.8441060185432434,0.8596201539039612,0.3559523820877075,0.886561930179596,0.8389760255813599
34,0.8646607398986816,0.3430243134498596,0.8845954537391663,0.8447251319885254,0.8554913401603699,0.35650303959846497,0.8895705342292786,0.8381502628326416
35,0.8644130825996399,0.3422946631908417,0.8847101330757141,0.8447251319885254,0.8571428656578064,0.3572057783603668,0.8853170871734619,0.8414533734321594
36,0.8639177680015564,0.3434840738773346,0.8839678764343262,0.8452203869819641,0.8579686284065247,0.35688433051109314,0.8887916207313538,0.8381502628326416
37,0.8646607398986816,0.3423907458782196,0.8852990865707397,0.8448489308357239,0.8571428656578064,0.35525715351104736,0.888501763343811,0.8422791361808777
38,0.8649083971977234,0.342389315366745,0.8837389945983887,0.8452203869819641,0.8538398146629333,0.350983202457428,0.8823016285896301,0.8356729745864868
39,0.8646607398986816,0.3421725928783417,0.8833894729614258,0.8442298173904419,0.8538398146629333,0.35256248712539673,0.8840453624725342,0.8373245000839233
40,0.8647845387458801,0.34228742122650146,0.8858068585395813,0.8462110161781311,0.8554913401603699,0.3529658317565918,0.8786828517913818,0.8373245000839233
41,0.8645368814468384,0.34174466133117676,0.8849592208862305,0.8458395004272461,0.8563171029090881,0.35094669461250305,0.8785776495933533,0.8364987373352051
42,0.8646607398986816,0.34283819794654846,0.8840823769569397,0.8452203869819641,0.8521882891654968,0.35292139649391174,0.8821989297866821,0.8348472118377686
